channel,title,views,likes,subscribers,video_id,published_at,is_shorts,views_per_sub,engagement_rate,potential_score,tier,recommendation_reason
GameXtra,#roblox #funny #memes #dance #games #sprunki #minecraft #labubu #rumi #grannyvsgrannygame,10342813,30398,5070,w408lr9g-Uc,2026-05-18T00:30:42Z,False,2040.0,0.29,1428.09,VERY HIGH,Extremely high reach relative to subscriber count. Still an early-stage creator.
Slime Roblox RP,From babies to marriage…🥺❤️catch my heart #roblox #robloxshorts,12322767,78495,46000,802BXPTk1xI,2026-05-18T21:31:24Z,True,267.89,0.64,187.71,VERY HIGH,Extremely high reach relative to subscriber count. Shorts-focused content creator.
ZimTNP,#plsgoviral,1336422,0,14500,5jF28qsEApQ,2026-05-15T22:39:31Z,False,92.17,0.0,64.52,VERY HIGH,Extremely high reach relative to subscriber count.
KayG,Current Brainrots Tier List in Steal A Brainrot...!#roblox #stealabrainrot #trending,7170068,38378,81000,d-KbbIr7ZQs,2026-05-15T11:02:10Z,False,88.52,0.54,62.12,VERY HIGH,Extremely high reach relative to subscriber count.
Gautam RBLX,Banana Funny roblox short #roblox #robloxshorts #trending,6023693,57010,77100,hu95qQbkbIM,2026-05-16T05:45:07Z,True,78.13,0.95,54.97,VERY HIGH,Extremely high reach relative to subscriber count. Shorts-focused content creator.
Multiverse FX 3D,99 Nights in the Forest | Spider-Man vs THE DEER | Creepy Moment 😨 #spiderman #roblox,3076658,15383,41900,VArnekoRxLg,2026-05-16T19:20:42Z,False,73.43,0.5,51.55,VERY HIGH,Extremely high reach relative to subscriber count.
LooeyBlox,How did yatta learn to extract irl? 😧 #roblox #dandysworld #shorts,6484308,49620,94000,2mRzsB8US0E,2026-05-15T12:00:09Z,True,68.98,0.77,48.52,HIGH,Extremely high reach relative to subscriber count. Shorts-focused content creator.
SleepyShorts,3 INTERESTING Facts About The SPYDER ELEPHANT In Steal A Brainrot!,1524132,13560,26100,bMgtzRhVvuo,2026-05-17T02:35:20Z,False,58.4,0.89,41.14,HIGH,Extremely high reach relative to subscriber count.
Lordy VR,The machine lied to them... 😭 | MM2 FUNNY MOMENTS 💀 | Murder Mystery 2 | Roblox |,1718763,34284,79200,ozbtGIy8lk4,2026-05-15T09:30:28Z,False,21.7,1.99,15.79,MEDIUM,
WORST pLAYEr,Cry For Me #shorts #roblox,1925694,13611,96900,UDDmoHBXfUQ,2026-05-16T15:12:36Z,True,19.87,0.71,14.12,MEDIUM,Shorts-focused content creator.
